product_sku,total_ordered,product_name,stock_level,restocking_lead_time,sentiment_score,sentiment_magnitude,ratio
9183234,0, Learning Thermostat 3rd Gen-USA - Stainless Steel,0,8,0.2,0.5,
9182778,0, Women's Softshell Jacket Black/Grey,0,13,0.6,1,
9182780,0, Women's Shell Jacket Blue/Black,0,16,0.6,1,
9182980,0, Pet Feeding Mat,0,8,0.6,1,
9180757,0,Yoga Block,0,13,0.1,0.3,
9181573,0, Snapback Hat Black,0,12,0.1,0.3,
9181019,0, Tri-blend Hoodie Grey,0,19,0.1,0.3,
9182739,0, Men's Watershed Full Zip Hoodie Grey,0,14,0.2,0.3,
9182569,0, Men's  Zip Hoodie,0,10,0.4,0.6,
9182743,0, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,0,7,0.4,0.6,
9182771,0, Women's 1/4 Zip Jacket Charcoal,0,6,0.4,0.6,
9182751,0, Men's Performance Full Zip Jacket Black,0,14,0.3,0.6,
9182737,0, Women's 3/4 Sleeve Baseball Raglan Heather/Black,0,17,0.4,0.6,
9182502,0, Women's Yoga Jacket Black,0,10,0.8,1.2,
9182785,0, Women's Lightweight Microfleece Jacket,0,8,0.8,1.2,
9184734,0, Learning Thermostat 3rd Gen-USA - Copper,0,19,0.7,1.2,
9180905,0, Men's Long Sleeve Raglan Ocean Blue,0,13,0.8,1.2,
9182742,0, Men's Convertible Vest-Jacket Pewter,0,17,0.8,1.2,
9183186,0, G Noise-reducing Bluetooth Headphones,0,11,0.8,1.2,
9181150,0,Gift Card - $250.00,0,12,0.4,0.7,
9180782,0,Seat Pack Organizer,0,7,0.4,0.7,
9182559,0,Android Men's Vintage Henley,0,12,0.4,0.7,
9183226,0,Android Luggage Tag,0,7,0.4,0.7,
9183228,0, Cam Indoor Security Camera - USA,0,10,0.4,0.7,
9182752,0, Men's Short Sleeve Performance Badge Tee Charcoal,0,19,0.4,0.7,
9182383,0, Men's Watershed Full Zip Hoodie Grey,0,7,0.9,1.4,
GGOEGAAX0349,0,Android BTTF Moonshot Graphic Tee,0,15,0.5,1.4,
GGOEWXXX0827,0, Women's Short Sleeve Tee,0,14,0.7,1.9,
GGOEGAAX0598,0, Men's Convertible Vest-Jacket Pewter,0,17,0.2,1.9,
9184676,0,UpCycled Handlebar Bag,0,7,0,0.1,
9180808,0,Basecamp Explorer Powerbank Flashlight,0,5,0,0.1,
9180862,0, Screen Cleaning Cloth,0,15,0,0.1,
9182765,0, Women's Convertible Vest-Jacket Sea Foam Green,0,10,0.1,0.2,
9183221,0, Leather Journal-Black,0,15,0,0.2,
9183223,0, Spiral Leather Journal,0,18,0.1,0.2,
9182726,0, Men's Long & Lean Tee Charcoal,0,18,0.1,0.2,
9180824,0,Foam Can and Bottle Cooler,0,16,0.2,0.4,
9181137,0, Alpine Style Backpack,0,14,0.2,0.4,
9180833,0,Rubber Grip Ballpoint Pen 4 Pack,0,5,0.2,0.4,
9184737,0, Pack of 9 Decal Set,0,14,0.2,0.4,
9182709,0,Android Women's Long Sleeve Blended Cardigan Grey,0,6,0.2,0.4,
9180748,0,Android Lunch Kit,0,12,0.2,0.4,
GGOEGDHB072099,0, Insulated Stainless Steel Bottle,0,16,0.2,0.4,
9180781,0,Suitcase Organizer Cubes,0,7,0.2,0.4,
9182173,0, Stylus Pen w/ LED Light,0,11,0.2,0.4,
GGOEWXXX0834,0, Women's Typography Short Sleeve Tee,0,18,0,0.4,
9183213,0,Android Hard Cover Journal,0,18,0.5,0.8,
9182722,0, Men's 100% Cotton Short Sleeve Hero Tee Navy,0,7,0.5,0.8,
9180814,0,Micro Wireless Earbud,0,5,0.5,0.8,
9180809,0, Flashlight,0,14,0.5,0.8,
9184620,0, Men's Performance Full Zip Jacket Black,0,9,0.5,0.8,
9182605,0, Women's Tee Grey,0,13,0.5,0.8,
9181139,0,Waterproof Backpack,0,18,0.5,0.8,
9183240,0,25L Classic Rucksack,0,5,0.7,1.1,
9183230,0, Protect Smoke + CO White Battery Alarm-USA,0,7,0.7,1.1,
9182781,0, Women's Short Sleeve Hero Tee Black,0,9,0.7,1.1,
9182721,0, Men's 100% Cotton Short Sleeve Hero Tee Black,0,5,0.7,1.1,
9182784,0, Women's Short Sleeve Hero Tee White,0,12,0.7,1.1,
9182714,0, Men's Long Sleeve Raglan Ocean Blue,0,18,0.6,0.9,
9180793,0,26 oz Double Wall Insulated Bottle,0,8,0.5,0.9,
9180766,0,Sport Bag,0,8,0.5,0.9,
9184675,0,UpCycled Bike Saddle Bag,0,8,0.5,0.9,
9184733,0, Learning Thermostat 3rd Gen-USA - White,0,11,0.6,0.9,
9183241,0,25L Classic Rucksack,0,16,0.9,1.3,
9183229,0, Cam Outdoor Security Camera - USA,0,18,0.8,1.3,
9183239,0,25L Classic Rucksack,0,19,0.8,1.3,
9182745,0, Men's Quilted Insulated Vest Black,0,9,0.9,1.3,
9183222,0, Leather Perforated Journal,0,7,0.8,1.3,
9180769,0, Laptop Backpack,0,7,0.8,1.3,
9183219,0, Leather Journal,0,9,0.8,1.3,
GGOEGEVB070599,0, G Noise-reducing Bluetooth Headphones,132,7,0.9,0.5,0
GGOEGAAX0365,0, Women's Scoop Neck Tee Black,73,6,0,0.5,0
GGOEGAAX0296,0, Women's Short Sleeve Tri-blend Badge Tee Grey,33,15,0,0.5,0
GGOEGAAX0339,0, Men's Vintage Badge Tee White,210,9,0.1,0.5,0
GGOEGAAX0683,0, Youth Short Sleeve T-shirt Royal Blue,5,17,0.3,0.5,0
GGOEGEHQ072599,0, 4400mAh Power Bank,65,7,0.4,0.5,0
GGOEGBFC018799,0,Electronics Accessory Pouch,568,29,0.4,1,0
GGOEGAAX0042,0,Android Stretch Fit Hat,41,16,0.6,1,0
GGOEGAAX0324,0,Android Men's Short Sleeve Tri-blend Hero Tee Grey,3,16,0.2,1,0
GGOEGAAX0592,0, Men's Airflow 1/4 Zip Pullover Black,8,9,-0.2,1.5,0
GGOEGAAX0746,0, Women's Short Sleeve Badge Tee Navy,8,17,0.6,1.5,0
GGOEGOAA017199,0,Rubber Grip Ballpoint Pen 4 Pack,1791,3,0.1,0.3,0
GGOEGAAX0329,0,Android Men's Long & Lean Badge Tee Charcoal,65,18,-0.3,0.3,0
GGOEGAAX0361,0,Android Women's Fleece Hoodie,21,13,-0.1,0.3,0
GGOEGOAR013599,0,Ballpoint Stylus Pen,942,5,0.2,0.3,0
GGOEGAAX0327,0, Men's Long & Lean Tee Grey,5,6,-0.1,0.3,0
GGOEGBPB082099,0,UpCycled Handlebar Bag,107,12,0.1,0.6,0
GGOEGAAX0595,0, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,9,7,-0.5,0.6,0
GGOEAXXX0810,0,Android Men's Outerstellar Short Sleeve Tee Black,3,6,0,0.6,0
GGOEGBMC056599,0,Waterproof Gear Bag,261,15,-0.1,1.2,0
GGOEGHPJ080110,0, 5-Panel Cap,87,5,0.8,1.2,0
GGOEGAAX0306,0, Women's Recycled Fabric Tee,16,10,0.4,1.2,0
GGOEAHPA004110,0,Android Wool Heather Cap Heather/Black,305,9,0.2,1.2,0
GGOEWXXX0828,0, Men's Short Sleeve Tee,1,14,0.4,1.2,0
GGOENEBQ081699,0, Protect Smoke + CO White Battery Alarm - CA,25,9,0.8,1.2,0
GGOEGAAX0353,0, Vintage Henley Grey/Black,95,10,0.4,1.2,0
GGOEGAAX0282,0,Android Women's Short Sleeve Badge Tee Dark Heather,19,15,-0.4,1.2,0
GGOEGAAX0168,0, Pet Feeding Mat,83,18,-0.4,1.2,0
GGOEGAAX0686,0, Youth Short Sleeve Tee Red,40,6,0.7,1.2,0
GGOEAOBH078799,0,Android Luggage Tag,32,15,0.4,0.7,0
GGOEWFKA083299,0, Mood Ninja Window Decal,94,6,0.9,1.4,0
GGOEGAAX0590,0, Men's Short Sleeve Performance Badge Tee Navy,21,9,0.1,1.4,0
GGOEGAAX0304,0, Women's 3/4 Sleeve Baseball Raglan Heather/Black,26,9,0.5,1.4,0
GGOEGAAX0323,0, Men's Short Sleeve Hero Tee Charcoal,20,19,0.5,1.4,0
GGOEGAAX0582,0, Women's Lightweight Microfleece Jacket,3,19,0.5,1.4,0
GGOEGAAX0593,0, Men's Airflow 1/4 Zip Pullover Lapis,23,8,0,1.4,0
GGOEGAAX0350,0, Men's Bayside Graphic Tee,33,8,0.9,1.4,0
GGOEGAAX0570,0, Men's Short Sleeve Performance Badge Tee Charcoal,57,14,0.5,1.4,0
GGOEGAAX0331,0, Men's Long Sleeve Raglan Ocean Blue,10,17,0.1,1.9,0
GGOEGAAX0348,0,Android BTTF Cosmos Graphic Tee,4,15,0.7,1.9,0
GGOEGAAX0340,0, Men's Vintage Badge Tee Sage,442,9,-0.2,0.1,0
GGOENEBQ081599,0, Cam Outdoor Security Camera - CA,40,18,0,0.1,0
GGOEGAAX0355,0, Men's Vintage Tank,31,17,-0.1,0.2,0
GGOEGGCX056499,0,Gift Card - $50.00,9,14,0.1,0.2,0
GGOEGEHQ072499,0, 2200mAh Micro Charger,38,11,0.7,0.2,0
GGOEGACB023699,0,Yoga Block,78,14,0.1,0.2,0
GGOEGAAX0603,0, Women's 1/4 Zip Performance Pullover Two-Tone Blue,15,19,-0.1,0.4,0
GGOEGAAX0572,0, Men's Colorblock Tee White/Heather,1,8,0.2,0.8,0
GGOEGDHR082199,0, 25 oz Red Stainless Steel Bottle,341,30,0.5,0.8,0
GGOEWFKA083099,0, Mood Happy Window Decal,26,6,0.5,0.8,0
GGOEGAAX0328,0, Men's Long & Lean Tee Charcoal,11,14,0.1,0.8,0
GGOEGESB015199,0, Flashlight,13,6,0.7,0.8,0
GGOEGAAX0604,0, Women's Quilted Insulated Vest Black,10,11,0.1,0.8,0
GGOEGAAX0231,0, Collapsible Pet Bowl,59,15,0.5,0.8,0
GGOEGGCX056399,0,Gift Card - $250.00,38,10,0.7,1.1,0
GGOEGOAJ021599,0,Gunmetal Roller Ball Pen,1321,36,0.7,1.1,0
GGOEAHPJ074410,0,Android Twill Cap,161,5,0.7,1.1,0
GGOEGBCR024399,0, Lunch Bag,290,11,0.4,1.1,0
GGOEGAAX0605,0, Women's Quilted Insulated Vest White,16,9,0.6,1.6,0
GGOEGAAX0580,0, Women's 1/4 Zip Jacket Charcoal,7,18,-0.1,0.9,0
GGOEAHPB080210,0,Android 5-Panel Low Cap,11,16,0.5,0.9,0
GGOEGHPL003214,0, Stretch Fit Hat M/L Navy,6,6,0.6,0.9,0
GGOEGCVB072399,0, Executive Umbrella,458,5,0.6,1.3,0
GGOEGAAX0588,0, Women's Shell Jacket Blue/Black,5,7,0,1.3,0
GGOEGCBB074399,0, Device Holder Sticky Pad,94,8,0.1,1.3,0
GGOEGAAX0575,0, Women's Weatherblock Shell Jacket Black,1,13,0.4,1.3,0
GGOENEBQ081799,0, Protect Smoke + CO White Wired Alarm - CA,49,15,0.8,1.3,0
GGOEGAAX0607,0, Women's Convertible Vest-Jacket Sea Foam Green,25,8,-0.5,1.8,0
GGOEGAAX0356,0, Men's Vintage Tank,119,15,0.7,1.8,0
GGOEGAAX0732,0, Women's Fleece Hoodie Black,5,17,0.7,1.8,0
GGOEWXXX0835,0, Men's Typography Short Sleeve Tee,1,11,0.7,1.8,0
GGOEGAAX0567,0, Men's Softshell Jacket Black/Grey,1,12,0.7,1.8,0
GGOEGAAX0596,1, Men's Quilted Insulated Vest Black,32,8,0.8,2,0.03125
GGOEAAWN062648,1,Android Infant Short Sleeve Tee Pink,32,17,0.6,1,0.03125
GGOEAHPB076114,1,Android Stretch Fit Hat,8,5,0.3,0.5,0.125
GGOEGAEJ029913,1, Women's V-Neck Tee Charcoal,8,12,0.3,0.5,0.125
GGOEGAAJ032616,6, Men's Short Sleeve Badge Tee Charcoal,48,8,0.5,0.8,0.125
GGOEGAAX0281,1, Women's Short Sleeve Badge Tee Grey,8,8,0.4,1.3,0.125
GGOEGAAX0733,1, Women's Short Sleeve Hero Tee Heather,1,7,0.1,0.7,1
GGOEAAEB028314,1,Android Women's Short Sleeve Hero Tee Black,1,11,0,0.1,1
GGOEGAYR068225,1, Youth Short Sleeve Tee Red,1,9,0,0.1,1
GGOEGATH060717,1, Women's Convertible Vest-Jacket Sea Foam Green,1,12,0.1,0.2,1
GGOEGAAL010615,2, Men's 100% Cotton Short Sleeve Hero Tee Navy,66,14,0,0.1,0.03030303
GGOEYAFB073113,3, Men's Fleece Hoodie Black,99,11,0.2,0.4,0.03030303
GGOEGALL074613,1, Women's Short Sleeve Badge Tee Navy,33,8,0.5,0.8,0.03030303
GGOEGAPB057813,2,Women's Performance Full Zip Jacket Black,33,14,0.9,1.4,0.060606061
GGOEGAEA030415,2, Womens 3/4 Sleeve Baseball Raglan Heather/Black,33,15,0.7,1.1,0.060606061
GGOEAAEJ035713,2,Android Men's Vintage Tank,15,10,0.1,0.2,0.133333333
GGOEGAAX0618,2, Infant Short Sleeve Tee Red,15,18,0.8,1.3,0.133333333
GGOEGETB023799,56, Power Bank,210,7,-0.2,0.5,0.266666667
GGOEGAFB035817,4, Men's  Zip Hoodie,15,14,0.7,1.1,0.266666667
GGOEGAEJ028016,1, Women's Short Sleeve Hero Tee Grey,51,6,0.5,0.8,0.019607843
GGOEGAAJ032817,2, Men's Long & Lean Tee Charcoal,102,17,0.7,1.1,0.019607843
GGOEGALQ036614,1, Women's Scoop Neck Tee White,52,19,0,0.1,0.019230769
GGOEGAAX0761,1,Android Stretch Fit Hat Black,52,19,0.8,1.3,0.019230769
GGOEGAEJ028113,1, Women's Short Sleeve Badge Tee Grey,26,15,0.3,0.6,0.038461538
GGOEGAAX0280,2, Women's Short Sleeve Hero Tee Grey,52,19,0.1,0.7,0.038461538
GGOEGAFB035814,4, Men's  Zip Hoodie,156,14,0.7,1,0.025641026
GGOEWCKQ085457,1, Pack of 9 Decal Set,39,18,0.2,0.4,0.025641026
GGOEGCBC074299,5, Device Stand,195,15,0.8,0.4,0.025641026
GGOEGETR014599,1, Tube Power Bank,72,8,-0.2,0.7,0.013888889
GGOEGAAX0107,1, Men's 100% Cotton Short Sleeve Hero Tee Red,72,8,0.7,1.8,0.013888889
GGOEAAWN062649,1,Android Infant Short Sleeve Tee Pink,18,8,0.3,0.6,0.055555556
GGOEGAEC033113,2, Men's Long Sleeve Raglan Ocean Blue,36,18,0.3,0.6,0.055555556
GGOEGADJ056813,3, Men's Watershed Full Zip Hoodie Grey,54,9,0.5,0.8,0.055555556
GGOEGAAX0579,1, Women's Short Sleeve Performance Tee Charcoal,18,11,-0.2,0.9,0.055555556
GGOENEBB081499,4, Cam Indoor Security Camera - CA,72,19,0.8,1.3,0.055555556
GGOEAAEH035215,3,Android Men's Vintage Henley,27,19,0.1,0.2,0.111111111
GGOEGAEC033117,1, Men's Long Sleeve Raglan Ocean Blue,9,18,0.5,0.9,0.111111111
GGOEGAAX0661,2, Toddler Short Sleeve Tee Red,17,13,0.4,0.6,0.117647059
GGOEAAWT061748,4,Android Onesie Gold,34,9,0.7,1.2,0.117647059
GGOEGAAX0578,2, Women's Performance Full Zip Jacket Black,17,13,-0.4,0.4,0.117647059
GGOEAXXX0812,1,Android Men's Take Charge Short Sleeve Tee Purple,19,15,-0.2,0.2,0.052631579
GGOEGAAX0357,3,Android Men's Vintage Tank,57,10,0.2,0.9,0.052631579
GGOEGATH060714,1, Women's Convertible Vest-Jacket Sea Foam Green,19,6,0.8,1.3,0.052631579
GGOEGAAX0364,6, Women's Tee Grey,40,13,-0.3,0.1,0.15
GGOEGAAX0671,6, Toddler Short Sleeve Tee White,40,10,0.8,1.3,0.15
GGOEGAEJ031316,1, Tri-blend Hoodie Grey,11,10,0.1,0.3,0.090909091
GGOEGAAX0619,3, Infant Short Sleeve Tee Royal Blue,33,11,0.9,1.4,0.090909091
GGOEYAFB073116,2, Men's Fleece Hoodie Black,22,12,0.1,0.2,0.090909091
GGOEAXXX0808,5,Android Men's Engineer Short Sleeve Tee Charcoal,55,11,0,0.4,0.090909091
GGOEAAAJ080814,4,Android Men's Engineer Short Sleeve Tee Charcoal,22,6,0.8,1.2,0.181818182
GGOEGAPB057816,2,Women's Performance Full Zip Jacket Black,11,10,0.9,1.4,0.181818182
GGOEGAAX0283,2,Android Women's Short Sleeve Hero Tee Black,11,7,0.7,1.8,0.181818182
GGOEGAAX0326,1, Men's Short Sleeve Badge Tee Charcoal,12,11,0.5,1.5,0.083333333
GGOEGAXR065129,1, Toddler Short Sleeve Tee Red,12,7,0.1,0.3,0.083333333
GGOEGALJ036413,1, Women's Tee Grey,12,16,0.3,0.6,0.083333333
GGOEAAAB034914,1,Android BTTF Moonshot Graphic Tee,12,5,0.2,0.4,0.083333333
GGOEGAEJ029915,1, Women's V-Neck Tee Charcoal,3,5,0.2,0.4,0.333333333
GGOEYAAJ033015,11, Men's Long & Lean Tee Charcoal,33,10,0.5,0.8,0.333333333
GGOEGALJ036414,2, Women's Tee Grey,23,19,0.4,0.7,0.086956522
GGOEGAAJ032613,4, Men's Short Sleeve Badge Tee Charcoal,46,7,0.4,0.7,0.086956522
GGOEGAAX0569,1, Men's Performance Full Zip Jacket Black,54,12,-0.4,0.3,0.018518519
GGOEGAAX0290,1, Women's Short Sleeve Hero Tee Charcoal,54,16,0.5,1.4,0.018518519
GGOEGADB059614,1, Men's Quilted Insulated Vest Black,27,8,0.3,0.6,0.037037037
GGOEYAAB031813,1, Men's Short Sleeve Hero Tee Black,27,6,0.7,1.2,0.037037037
GGOEGAAB010517,2, Men's 100% Cotton Short Sleeve Hero Tee Black,50,8,0.3,0.6,0.04
GGOEGALL074615,1, Women's Short Sleeve Badge Tee Navy,25,9,0.8,1.2,0.04
GGOEGAEJ030815,1, Women's Long Sleeve Blended Cardigan Charcoal,25,13,0.9,1.4,0.04
GGOEGAAX0568,3, Men's Watershed Full Zip Hoodie Grey,75,17,-0.3,0.4,0.04
GGOEGATB060615,1, Women's Convertible Vest-Jacket Black,25,8,0.5,0.9,0.04
GGOEGAAJ059113,1, Men's Short Sleeve Performance Badge Tee Pewter,25,16,0.9,1.3,0.04
GGOEGAXJ065555,3, Toddler Short Sleeve T-shirt Grey,93,6,0.6,1,0.032258065
GGOEGAEJ031313,2, Tri-blend Hoodie Grey,62,16,0.9,1.4,0.032258065
GGOEGAYB068024,3, Youth Baseball Raglan Heather/Black,21,18,0.9,1.4,0.142857143
GGOEGAWQ062248,1, Infant Short Sleeve Tee White,7,8,0.7,1.1,0.142857143
GGOEGAAX0602,3, Women's 1/4 Zip Performance Pullover Black,21,12,0.3,1.1,0.142857143
GGOEGAAJ080613,1, Men's Bike Short Sleeve Tee Charcoal,29,16,0.2,0.3,0.034482759
GGOEAAEJ030913,2,Android Women's Long Sleeve Blended Cardigan Grey,58,12,0.9,1.3,0.034482759
GGOEAHPB076113,1,Android Stretch Fit Hat,10,14,0.3,0.5,0.1
GGOEYAAB031816,2, Men's Short Sleeve Hero Tee Black,20,19,0.1,0.3,0.1
GGOEGAWQ062250,3, Infant Short Sleeve Tee White,30,13,0.8,1.3,0.1
GGOEGATB060213,7, Women's 1/4 Zip Performance Pullover Black,35,14,0.6,1,0.2
GGOEGAER029713,5, Women's Short Sleeve Hero Tee Red Heather,25,17,0.7,1.2,0.2
GGOEGAEJ031314,9, Tri-blend Hoodie Grey,45,17,0.9,1.4,0.2
GGOEAAEH035217,2,Android Men's Vintage Henley,10,19,0.2,0.4,0.2
GGOEGAXQ067129,5, Toddler Short Sleeve Tee White,12,5,0.7,1.1,0.416666667
GGOEGXXX0806,5, Men's Bike Short Sleeve Tee Charcoal,12,7,0.7,1.8,0.416666667
GGOEGALB036514,8, Women's Scoop Neck Tee Black,154,5,0.3,0.5,0.051948052
GGOEGAAX0299,4, Women's V-Neck Tee Charcoal,77,8,0.8,1.9,0.051948052
GGOEAHPJ004213,2,Android Stretch Fit Hat S/M,53,12,0.6,1,0.037735849
GGOEGAAJ080614,2, Men's Bike Short Sleeve Tee Charcoal,53,16,0,0.1,0.037735849
GGOEGAAX0308,1, Women's Long Sleeve Blended Cardigan Charcoal,37,18,-0.2,0.1,0.027027027
GGOEGAEJ030814,1, Women's Long Sleeve Blended Cardigan Charcoal,37,8,0,0.2,0.027027027
GGOEGAAX0352,2,Android Men's Vintage Henley,37,15,-0.1,0.3,0.054054054
GGOEGALB034117,4, Women's Vintage Hero Tee Black,74,13,0.2,0.4,0.054054054
GGOEAOCB077499,2,Android RFID Journal,86,9,0.3,0.3,0.023255814
GGOEGAAX0342,4, Women's Vintage Hero Tee White,172,14,0.1,0.8,0.023255814
GGOEAAEH035214,1,Android Men's Vintage Henley,43,15,0.7,1.1,0.023255814